lat,lon,pressure,ASL_Sector_Pres,time
-71.25,196.5,973.7040405273438,982.9580078125,1979-02-01
-69.75,225.0,972.30224609375,980.5159301757812,1979-03-01
-68.25,273.75,967.7047119140625,979.388671875,1979-04-01
-70.5,191.25,977.4674072265625,987.1717529296875,1979-05-01
-70.5,219.0,966.9014282226562,977.8569946289062,1979-06-01
-71.25,249.75,972.6932983398438,980.13623046875,1979-07-01
-71.25,258.0,972.4166259765625,986.6744384765625,1979-08-01
-74.25,204.0,972.7765502929688,982.1755981445312,1979-09-01
-72.0,252.0,973.3610229492188,982.3060913085938,1979-10-01
-75.0,203.25,979.154296875,986.3114013671875,1979-11-01
-66.75,268.5,986.1121215820312,993.4611206054688,1979-12-01
-63.0,270.0,987.5421142578125,991.8096923828125,1980-01-01
-63.0,282.0,986.8758544921875,992.6497192382812,1980-02-01
-75.0,218.25,986.0529174804688,992.060791015625,1980-03-01
-66.0,193.5,979.39990234375,987.6708374023438,1980-05-01
-75.75,209.25,977.7468872070312,987.9915771484375,1980-06-01
-63.75,207.0,982.9755249023438,994.7154541015625,1980-07-01
-71.25,201.75,976.0797729492188,983.3721923828125,1980-08-01
-69.0,258.0,981.4735717773438,989.0620727539062,1980-09-01
-70.5,221.25,963.615234375,973.8837280273438,1980-10-01
-62.25,292.5,984.1104736328125,991.2369384765625,1980-11-01
-70.5,272.25,984.76123046875,989.5646362304688,1980-12-01
-70.5,207.75,980.7098388671875,987.237548828125,1981-01-01
-67.5,279.75,976.9266967773438,984.4423828125,1981-02-01
-67.5,219.75,973.2833862304688,985.9512939453125,1981-03-01
-72.75,202.5,988.1900634765625,994.0253295898438,1981-04-01
-75.0,195.0,980.0337524414062,988.9751586914062,1981-05-01
-70.5,219.75,971.8731079101562,984.0203857421875,1981-06-01
-71.25,230.25,978.3016357421875,987.559814453125,1981-07-01
-68.25,273.75,978.25927734375,990.25048828125,1981-08-01
-72.0,282.0,984.2064819335938,991.7857055664062,1981-09-01
-72.0,210.0,975.8412475585938,980.218505859375,1981-10-01
-68.25,253.5,968.5812377929688,975.8570556640625,1981-11-01
-71.25,231.75,974.7062377929688,982.9532470703125,1981-12-01
-64.5,267.0,983.7929077148438,988.8842163085938,1982-01-01
-66.0,233.25,979.2855224609375,984.3345336914062,1982-02-01
-67.5,276.75,973.97509765625,981.0106811523438,1982-03-01
-70.5,270.0,968.3116455078125,980.0641479492188,1982-04-01
-68.25,261.75,976.5399780273438,985.4579467773438,1982-05-01
-73.5,204.75,975.482666015625,984.9720458984375,1982-06-01
-69.0,207.0,981.7869262695312,989.8255004882812,1982-07-01
-72.75,196.5,966.677001953125,983.490234375,1982-08-01
-73.5,216.0,968.7803344726562,980.050048828125,1982-09-01
-72.75,249.75,975.832763671875,984.2251586914062,1982-10-01
-65.25,174.0,974.422607421875,984.7951049804688,1982-11-01
-61.5,277.5,982.1807861328125,993.3331909179688,1982-12-01
-63.0,277.5,985.3837280273438,995.5916748046875,1983-01-01
-69.0,208.5,975.546142578125,983.2848510742188,1983-03-01
-69.75,221.25,966.1632080078125,980.1649169921875,1983-04-01
-67.5,210.0,971.3424072265625,980.088134765625,1983-05-01
-71.25,201.75,980.5418701171875,989.183837890625,1983-06-01
-70.5,234.75,971.4638061523438,980.4082641601562,1983-07-01
-72.0,219.75,968.5474243164062,978.2581787109375,1983-08-01
-71.25,242.25,976.7742919921875,985.5244140625,1983-09-01
-74.25,201.75,960.1299438476562,973.3421630859375,1983-10-01
-69.75,261.0,969.7980346679688,978.0198974609375,1983-11-01
-69.75,246.0,977.5393676757812,984.60546875,1983-12-01
-64.5,256.5,981.7911987304688,991.9782104492188,1984-01-01
-63.75,285.0,983.768798828125,989.4231567382812,1984-02-01
-69.0,249.0,975.0394287109375,982.8052978515625,1984-03-01
-72.0,198.0,976.0360107421875,981.7280883789062,1984-04-01
-69.0,209.25,980.4628295898438,989.437255859375,1984-05-01
-73.5,195.75,975.8087768554688,986.385009765625,1984-06-01
-74.25,209.25,971.7362670898438,984.5713500976562,1984-07-01
-72.0,255.75,974.6300659179688,986.08837890625,1984-08-01
-72.0,254.25,971.2943725585938,983.3871459960938,1984-09-01
-75.0,191.25,971.5032958984375,984.0703125,1984-10-01
-70.5,215.25,973.7999877929688,978.4880981445312,1984-11-01
-61.5,240.0,984.820556640625,991.5029296875,1984-12-01
-66.75,268.5,984.7245483398438,989.3682861328125,1985-01-01
-64.5,282.75,982.138427734375,987.0786743164062,1985-02-01
-69.75,225.0,974.7401733398438,982.3699951171875,1985-03-01
-70.5,207.75,975.6873168945312,981.5243530273438,1985-04-01
-73.5,200.25,979.9263916015625,989.0426025390625,1985-05-01
-75.0,207.0,979.2460327148438,990.9259033203125,1985-06-01
-72.75,277.5,971.4383544921875,983.8430786132812,1985-07-01
-69.75,245.25,968.3258056640625,978.2789306640625,1985-08-01
-68.25,253.5,968.7238159179688,973.6814575195312,1985-09-01
-74.25,200.25,969.3308715820312,979.8368530273438,1985-10-01
-75.0,208.5,969.53125,977.734375,1985-11-01
-69.75,256.5,974.23193359375,979.5772705078125,1985-12-01
-62.25,285.75,981.8984375,986.6713256835938,1986-01-01
-68.25,241.5,977.5421752929688,988.7444458007812,1986-02-01
-67.5,241.5,979.4732666015625,987.7980346679688,1986-03-01
-73.5,226.5,977.204833984375,984.2383422851562,1986-04-01
-66.0,182.25,979.5452880859375,995.64453125,1986-05-01
-63.0,286.5,975.9781494140625,994.716064453125,1986-06-01
-70.5,279.75,978.3453979492188,986.902099609375,1986-08-01
-76.5,207.0,974.8643798828125,984.487060546875,1986-09-01
-72.75,216.0,966.6459350585938,978.7815551757812,1986-10-01
-75.75,199.5,974.8982543945312,984.7659301757812,1986-11-01
-72.75,206.25,977.2627563476562,983.5878295898438,1986-12-01
-66.0,258.75,979.59326171875,988.7628173828125,1987-01-01
-67.5,261.0,986.1699829101562,992.0079956054688,1987-02-01
-70.5,272.25,975.354248046875,987.4539794921875,1987-03-01
-65.25,249.0,972.8118896484375,982.029296875,1987-04-01
-68.25,241.5,976.2111206054688,982.1962890625,1987-05-01
-72.75,195.75,983.8408813476562,989.8928833007812,1987-06-01
-72.0,200.25,984.97998046875,994.6875,1987-07-01
-72.0,192.0,970.2088012695312,984.4019165039062,1987-08-01
-69.75,196.5,980.8425903320312,987.8477783203125,1987-09-01
-69.75,228.75,969.3646850585938,977.5787963867188,1987-10-01
-66.75,267.75,969.0005493164062,978.1656494140625,1987-11-01
-68.25,234.75,978.81689453125,983.8040161132812,1987-12-01
-69.75,232.5,986.3775024414062,990.5557250976562,1988-01-01
-68.25,263.25,977.7158813476562,985.9537353515625,1988-02-01
-67.5,272.25,976.659912109375,984.3245849609375,1988-03-01
-72.0,212.25,968.800048828125,982.8765258789062,1988-04-01
-63.75,213.75,970.6506958007812,983.13427734375,1988-05-01
-62.25,209.25,979.4776000976562,985.8853149414062,1988-06-01
-76.5,205.5,974.2164306640625,984.9954223632812,1988-07-01
-73.5,195.75,969.8828125,988.6539306640625,1988-08-01
-70.5,238.5,974.975830078125,982.7891235351562,1988-09-01
-69.75,231.0,979.9207763671875,987.8665771484375,1988-10-01
-68.25,225.0,973.0758666992188,978.8549194335938,1988-11-01
-70.5,195.0,979.9461669921875,984.522216796875,1988-12-01
-65.25,256.5,978.4527587890625,984.4559936523438,1989-01-01
-66.75,252.0,972.931884765625,979.804443359375,1989-02-01
-70.5,195.0,974.8121337890625,980.518798828125,1989-03-01
-66.75,213.0,978.9933471679688,987.0933227539062,1989-04-01
-72.75,225.75,964.5158081054688,974.7493286132812,1989-05-01
-69.75,213.75,969.2687377929688,976.956298828125,1989-06-01
-71.25,252.0,969.4564819335938,979.8800048828125,1989-07-01
-71.25,234.0,975.5193481445312,985.6783447265625,1989-08-01
-72.75,225.75,975.3358764648438,984.1007690429688,1989-09-01
-69.75,270.0,969.59765625,977.2326049804688,1989-10-01
-69.75,242.25,969.6978759765625,976.6004028320312,1989-11-01
-71.25,202.5,984.8797607421875,988.8094482421875,1989-12-01
-63.75,178.5,984.1556396484375,989.01171875,1990-01-01
-67.5,230.25,967.0172119140625,977.663818359375,1990-02-01
-66.75,206.25,976.7093505859375,981.4074096679688,1990-03-01
-68.25,196.5,981.8462524414062,992.3137817382812,1990-04-01
-61.5,170.25,982.4263916015625,992.1552734375,1990-05-01
-72.0,255.75,974.3392333984375,986.1390380859375,1990-06-01
-65.25,254.25,975.6915893554688,988.2216186523438,1990-07-01
-72.0,222.0,972.2542724609375,981.6159057617188,1990-08-01
-74.25,213.75,968.956787109375,978.86865234375,1990-09-01
-68.25,276.75,969.0753173828125,976.3228149414062,1990-10-01
-71.25,282.0,969.2023315429688,981.3980102539062,1990-11-01
-72.0,208.5,978.6969604492188,985.2936401367188,1990-12-01
-67.5,274.5,975.5645141601562,983.0445556640625,1991-01-01
-71.25,202.5,982.5759887695312,987.3685302734375,1991-02-01
-72.75,231.75,976.9494018554688,987.0125732421875,1991-03-01
-72.0,228.0,980.5306396484375,987.0526733398438,1991-04-01
-66.0,171.0,978.3284912109375,992.633544921875,1991-05-01
-69.75,207.0,981.8843994140625,989.8294067382812,1991-07-01
-71.25,270.0,972.917724609375,984.5498657226562,1991-08-01
-71.25,216.0,971.5287475585938,983.1214599609375,1991-09-01
-73.5,193.5,975.9781494140625,987.7092895507812,1991-10-01
-70.5,271.5,974.8587646484375,984.255859375,1991-11-01
-69.0,192.0,990.7153930664062,995.9365844726562,1991-12-01
-63.75,258.0,982.8894653320312,989.572509765625,1992-01-01
-63.75,174.0,984.9404907226562,994.1044921875,1992-02-01
-67.5,186.75,977.0538330078125,989.1415405273438,1992-03-01
-69.75,237.75,977.9967041015625,985.1484375,1992-04-01
-66.75,199.5,986.78125,994.9984741210938,1992-05-01
-70.5,216.0,972.3206176757812,983.3113403320312,1992-07-01
-68.25,261.75,976.6077270507812,983.6971435546875,1992-08-01
-76.5,206.25,969.7698364257812,981.4260864257812,1992-09-01
-66.75,255.75,973.4160766601562,978.9559326171875,1992-10-01
-72.0,243.75,975.924560546875,982.443359375,1992-11-01
-68.25,261.75,979.8544311523438,985.6842651367188,1992-12-01
-65.25,265.5,991.4410400390625,997.4633178710938,1993-01-01
-75.0,204.75,975.1156005859375,985.2365112304688,1993-02-01
-71.25,282.0,982.683349609375,989.9071655273438,1993-03-01
-71.25,220.5,978.4174194335938,985.8820190429688,1993-04-01
-73.5,216.0,979.5184936523438,985.1694946289062,1993-05-01
-66.0,183.75,973.2537231445312,986.1456909179688,1993-06-01
-76.5,204.75,970.5109252929688,979.1533203125,1993-07-01
-71.25,244.5,969.4197387695312,978.5843505859375,1993-09-01
-68.25,186.75,967.39404296875,978.5541381835938,1993-10-01
-66.75,266.25,968.6871337890625,978.74267578125,1993-11-01
-69.0,258.0,981.6161499023438,985.7625732421875,1993-12-01
-66.75,265.5,980.1339111328125,984.3735961914062,1994-01-01
-68.25,251.25,976.1080322265625,983.2364501953125,1994-02-01
-74.25,209.25,976.4707641601562,985.9927978515625,1994-03-01
-69.0,214.5,974.4522094726562,983.1676025390625,1994-04-01
-63.75,217.5,992.72412109375,996.3616943359375,1994-06-01
-73.5,195.75,987.7835083007812,993.5753173828125,1994-07-01
-69.0,251.25,965.5731201171875,974.275634765625,1994-08-01
-70.5,281.25,973.0674438476562,987.4315185546875,1994-09-01
-72.75,201.75,972.491455078125,986.8355712890625,1994-10-01
-62.25,270.0,978.88330078125,983.7728271484375,1994-11-01
-69.75,187.5,978.267822265625,986.2444458007812,1994-12-01
-68.25,267.0,973.448486328125,981.2457885742188,1995-01-01
-68.25,246.0,980.6209106445312,986.5811767578125,1995-02-01
-69.75,276.0,979.1796875,989.3501586914062,1995-03-01
-66.75,260.25,972.8570556640625,984.0260620117188,1995-04-01
-70.5,201.0,976.201171875,982.9287109375,1995-05-01
-70.5,210.0,978.8761596679688,989.9220581054688,1995-08-01
-72.75,201.75,971.9677124023438,979.9965209960938,1995-09-01
-69.0,183.75,973.2509155273438,981.4081420898438,1995-10-01
-69.75,249.0,970.899169921875,978.1491088867188,1995-11-01
-70.5,251.25,974.46630859375,981.5910034179688,1995-12-01
-69.0,225.0,979.3604125976562,986.3573608398438,1996-01-01
-71.25,260.25,981.3070068359375,989.7562255859375,1996-02-01
-68.25,260.25,975.1425170898438,983.1828002929688,1996-03-01
-68.25,234.0,973.0546875,982.0615234375,1996-04-01
-66.0,229.5,975.482666015625,980.5565185546875,1996-05-01
-73.5,200.25,975.0606079101562,988.2186889648438,1996-06-01
-72.0,240.0,977.1978149414062,985.6051025390625,1996-07-01
-67.5,264.75,982.669189453125,987.4767456054688,1996-08-01
-63.75,246.0,976.1065673828125,985.7601318359375,1996-09-01
-72.75,254.25,967.7047119140625,976.7449951171875,1996-10-01
-66.75,278.25,969.53125,985.5780639648438,1996-11-01
-66.75,236.25,977.139892578125,983.4767456054688,1996-12-01
-66.0,274.5,977.85986328125,988.2383422851562,1997-01-01
-68.25,274.5,979.4478759765625,988.8065795898438,1997-04-01
-76.5,199.5,972.1780395507812,984.2836303710938,1997-05-01
-66.75,197.25,980.2496948242188,990.4605102539062,1997-06-01
-76.5,199.5,977.8231201171875,989.6624145507812,1997-07-01
-73.5,209.25,972.906494140625,983.1036987304688,1997-08-01
-70.5,210.0,969.0569458007812,983.1928100585938,1997-09-01
-70.5,200.25,969.9957275390625,982.3599243164062,1997-10-01
-68.25,202.5,976.0374145507812,983.921630859375,1997-11-01
-66.75,273.75,979.8615112304688,987.2033081054688,1998-01-01
-71.25,229.5,980.3866577148438,987.3648071289062,1998-02-01
-75.0,201.75,977.9727172851562,982.718505859375,1998-03-01
-71.25,225.75,970.80029296875,980.5414428710938,1998-04-01
-73.5,193.5,979.7711791992188,991.568115234375,1998-05-01
-69.0,207.0,968.2424926757812,977.3189086914062,1998-06-01
-63.75,279.0,966.7193603515625,975.6205444335938,1998-07-01
-69.75,216.0,960.0790405273438,971.1302490234375,1998-08-01
-69.0,216.0,975.76220703125,982.4141845703125,1998-09-01
-66.0,253.5,967.2515869140625,977.0089721679688,1998-10-01
-72.0,224.25,969.4564819335938,977.0198364257812,1998-11-01
-68.25,261.75,975.431884765625,982.2869873046875,1998-12-01
-66.75,260.25,978.6135864257812,983.6635131835938,1999-01-01
-68.25,273.0,972.4110107421875,984.1710205078125,1999-02-01
-69.75,237.75,975.4896850585938,984.3971557617188,1999-03-01
-71.25,282.0,973.9736938476562,982.4442138671875,1999-04-01
